Num	Station	Date	Time	Lon	Lat	Bottle	Depth	MLD	Label	Chla	sample	C2	C3	Chlphyllide_a	Peridinin	19_But	Fucoxanthin	Neox	Pras	19_Hex	Diadino_diatox	Diatox	Violaxanthin	Alloxanthin	Zeaxanthin	Lutein	Chl_b	Div_a	Chl_a	alpha-beta-Carotene
40	Stn9	27/02/2022	20:45	-79.00128	-32.5	2	150	21	lower	0.02	1_40_20281_SO289	0.863472651	0.868755604	0	0.895802436	1.083239647	0.803342468	0	0	3.913345683	0	0	0	0	0	0	1.245325531	0	7.611850462	0
41	Stn9	27/02/2022	20:45	-79.00128	-32.5	5	100	21	lower	0.17	1_41_20284_SO289	11.74433863	24.56915925	0	1.310215712	33.05582348	5.495204329	0.895045377	0.436329157	41.41526543	3.141899368	0	0.305054426	0	2.741074202	0	29.21979044	7.732171913	91.7268666	3.133172621
42	Stn9	27/02/2022	20:45	-79.00128	-32.5	8	75	21	lower	0.58	1_42_20287_SO289	34.40980161	59.46417599	0	3.985065041	66.98788008	18.35723001	1.543103549	1.992962908	108.0505206	7.178742864	0	2.871303246	0	23.02810966	0	99.88170535	71.10712278	206.5038071	17.78726168
43	Stn9	27/02/2022	20:45	-79.00128	-32.5	11	50	21	lower	0.56	1_43_20290_SO289	43.56511051	43.3305264	6.441516785	6.9864218	71.80858009	17.21203969	3.765988397	1.575502038	105.1067239	9.662954246	0	3.905386047	0	33.25553782	0	60.33643434	45.81585519	190.643936	9.890727312
44	Stn9	27/02/2022	20:45	-79.00128	-32.5	14	25	21	lower	0.21	1_44_20293_SO289	10.8614309	9.162537054	0	2.425483765	4.835283632	4.857495288	0	0	39.13345683	9.009752196	0	0.760297069	0	39.58919113	0	7.436608091	32.25363419	69.7208727	6.463723655
45	Stn9	27/02/2022	20:45	-79.00128	-32.5	17	5	21	upper	0.18	1_45_20296_SO289	6.572757522	4.851445902	0	1.389749573	4.779109649	4.80106326	0	0	24.05028215	12.51409854	0	0.921482674	0	40.36445558	0	4.057616962	30.1126798	57.04819316	5.996277896
46	Stn10	28/02/2022	16:54	-81.99926	-32.49812	2	100	32	lower	0.26	1_46_20323_SO289	14.19871105	26.91801699	0	1.636723142	36.80746237	4.583610039	2.465340178	0.483499877	35.8264454	2.691810508	0	0.330906496	0	8.246370313	0	49.73054936	30.96351725	87.87285873	8.552132638
47	Stn10	28/02/2022	16:54	-81.99926	-32.49812	5	85	32	lower	0.45	1_47_20326_SO289	24.00787143	41.69222494	0	2.570199512	49.6418672	7.745702732	4.051496542	1.115587521	58.52150704	3.865879511	0	0.494636273	0	18.99462186	0	90.90051658	67.49977102	126.8493797	17.3293214
48	Stn10	28/02/2022	16:54	-81.99926	-32.49812	8	55	32	lower	0.95	1_48_20329_SO289	60.06826626	57.39954076	0	3.047402679	55.32178608	12.27233813	6.210935136	1.233514321	148.0129272	9.722268282	0	5.296227415	0	100.0771785	5.070380906	152.111153	159.8678787	243.9860678	32.64096574
49	Stn10	28/02/2022	16:54	-81.99926	-32.49812	11	30	32	upper	0.32	1_49_20332_SO289	13.6193607	8.515949991	0	5.385977262	7.603472709	7.638400488	0.903353815	0.569193351	38.20003406	7.180487394	0	1.6775121	0	76.93011538	0	18.62765077	55.53497304	93.66989807	12.26653716
50	Stn10	28/02/2022	16:54	-81.99926	-32.49812	14	20	32	upper	0.25	1_50_20335_SO289	4.619995149	2.377458751	0	1.786023548	4.529567531	4.550374831	0	0	14.16537404	4.628820834	0	0.661812993	0	35.57802434	0	3.672748145	24.28120909	37.95322394	5.526595554
51	Stn10	28/02/2022	16:54	-81.99926	-32.49812	17	5	32	upper	0.26	1_51_20338_SO289	9.088211611	4.601187086	0	3.387863417	9.656523768	7.212989819	0	0.468562482	24.47598543	8.136490089	0	1.364989298	0	65.91180725	0	9.005930331	41.62303439	69.79132344	9.571082385
52	Stn11	01/03/2022	12:42	-85.00046	-32.5002	2	150	29	lower	0.16	1_52_20365_SO289	7.479727723	14.36664359	0	0.962778319	20.99840207	1.455702132	0	0.186324343	24.93293298	1.556121175	0	0.096514395	0	4.454004457	0	30.55583505	17.64865751	45.07931654	5.452229183
53	Stn11	01/03/2022	12:42	-85.00046	-32.5002	5	100	29	lower	0.48	1_53_20368_SO289	14.93169105	20.12617148	0	1.896254689	28.46481566	3.689108142	0.929034442	0	40.60389061	2.095181089	0	0.12926035	0	19.28782614	0	64.95486015	58.68290575	66.08772792	13.10022331
54	Stn11	01/03/2022	12:42	-85.00046	-32.5002	8	75	29	lower	0.52	1_54_20371_SO289	30.55888017	34.28635156	0	6.450614736	39.5694399	6.634697191	3.725201519	0.332553574	78.41044206	4.322946492	0	0.737645732	0	39.18327957	0.133796892	89.96858423	85.86989888	127.5151392	16.80288577
55	Stn11	01/03/2022	12:42	-85.00046	-32.5002	11	50	29	lower	0.33	1_55_20374_SO289	14.63923944	11.36890049	0	6.139455946	18.36781224	3.327319158	0.96982132	0	42.87105346	3.803076414	0	0.512445477	0	41.0717466	0	23.80688543	46.91049987	72.86861187	8.529953194
56	Stn11	01/03/2022	12:42	-85.00046	-32.5002	14	25	29	upper	0.19	1_56_20377_SO289	10.77998868	8.197763783	0	2.667872675	12.92703789	3.365302254	0.519655038	0	39.02019633	6.182615968	0	0.742241655	0	27.52519457	0.333623418	11.57905328	27.08084577	65.21484322	5.200427261
57	Stn11	01/03/2022	12:42	-85.00046	-32.5002	17	5	29	upper	0.16	1_57_20380_SO289	9.967417419	7.611443128	0	2.539502232	3.380161413	3.39568873	0.673738799	0	36.79013606	6.805994854	0	0.919184712	0	20.31597009	0.600058787	8.917960316	18.29715155	59.95780882	4.073189641
58	Stn12	02/03/2022	07:44	-87.99958	-32.4978	2	105	31	lower	0.39	1_58_20407_SO289	19.95149347	22.71635023	0	2.595315468	30.25414607	4.310131752	2.542382059	0.297175534	53.57710022	3.025015826	0	0.227498216	0	22.94516371	0.034752439	71.28045408	64.06656728	80.17224034	12.84189803
59	Stn12	02/03/2022	07:44	-87.99958	-32.4978	5	70	31	lower	0.44	1_59_20410_SO289	26.62744199	24.70858916	0	10.25986808	6.522123532	6.552083959	3.956327161	0.28774139	70.25275663	6.426850233	0	0.872076496	0	37.43562776	0.535187567	61.04569259	60.20545698	121.1978212	11.31347341
60	Stn12	02/03/2022	07:44	-87.99958	-32.4978	8	50	31	lower	0.32	1_60_20413_SO289	18.79788291	16.63774235	0	7.564088792	4.809357178	4.831449737	2.304458604	0.290099926	63.12027405	7.457867738	0	2.080229902	0	33.29218836	0.701999276	32.80731763	41.56166794	106.9801568	7.317259482
61	Stn12	02/03/2022	07:44	-87.99958	-32.4978	11	35	31	lower	0.14	1_61_20416_SO289	5.76018626	3.703830475	0	2.11532164	1.716547295	1.724432532	0	0	24.38225259	4.935858196	0	0.422824968	0	23.96301979	0	4.805362094	21.72040398	42.80587108	4.441107475
62	Stn12	02/03/2022	07:44	-87.99958	-32.4978	14	20	31	upper	0.12	1_62_20419_SO289	5.647277724	4.225798862	0	1.339517661	1.383824471	1.390181292	0	0	23.15786749	5.231846865	0	0.437761719	0	21.24766526	0	5.385414383	18.50944628	40.58913847	3.387583889
